,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
67,500,77.0,529,0.17483799999996563,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",geometric,10.0,0.99,0.001,9.982443623180387,10,5000,
68,1000,77.0,529,0.17483799999996563,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",geometric,10.0,0.99,0.001,9.982443623180387,10,5000,
69,5000,77.0,529,0.17483799999996563,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",geometric,10.0,0.99,0.001,9.982443623180387,10,5000,
70,0,0.0,0,0.00013400000000274304,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",exponential,10.0,,0.001,9.999993300002245,10,5000,0.005
71,10,0.0,20,0.023650000000031923,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,10.0,,0.001,9.998817569912555,10,5000,0.005
72,50,66.0,83,0.04787110000000894,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1]",exponential,10.0,,0.001,9.997606731432423,10,5000,0.005
73,250,80.0,351,0.09978970000003073,"[1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]",exponential,10.0,,0.001,9.99501175954103,10,5000,0.005
74,500,83.0,622,0.19207720000002837,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]",exponential,10.0,,0.001,9.990400750230359,10,5000,0.005
75,1000,81.0,836,0.3089224999999942,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]",exponential,10.0,,0.001,9.984565797999283,10,5000,0.005
76,5000,81.0,836,0.3089224999999942,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]",exponential,10.0,,0.001,9.984565797999283,10,5000,0.005
77,0,0.0,0,0.00012110000000120635,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",arithmetic,10.0,0.0001,0.001,9.99999998789,10,5000,
78,10,0.0,20,0.028520700000001398,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,10.0,0.0001,0.001,9.99999714793,10,5000,
79,50,55.0,87,0.060135900000034326,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",arithmetic,10.0,0.0001,0.001,9.99999398641,10,5000,
80,250,74.0,407,0.1175777999999923,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1]",arithmetic,10.0,0.0001,0.001,9.99998824222,10,5000,
81,500,51.0,821,0.2208643999999822,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]",arithmetic,10.0,0.0001,0.001,9.99997791356,10,5000,
82,1000,56.0,1602,0.5206385000000182,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]",arithmetic,10.0,0.0001,0.001,9.99994793615,10,5000,
83,5000,62.0,7949,7.892815400000018,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",arithmetic,10.0,0.0001,0.001,9.99921071846,10,5000,
84,0,0.0,0,0.0001348999999777334,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",geometric,20.0,0.99,0.001,19.999972884212255,20,5000,
85,10,0.0,20,0.059768399999995836,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,20.0,0.99,0.001,19.987989757723803,20,5000,
86,50,53.0,93,0.1233126999999854,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",geometric,20.0,0.99,0.001,19.975228672145622,20,5000,
87,250,78.0,383,0.2114781000000221,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,20.0,0.99,0.001,19.95753662375274,20,5000,
88,500,78.0,559,0.3165303000000108,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,20.0,0.99,0.001,19.936476378926244,20,5000,
89,1000,78.0,559,0.3165303000000108,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,20.0,0.99,0.001,19.936476378926244,20,5000,
90,5000,78.0,559,0.3165303000000108,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,20.0,0.99,0.001,19.936476378926244,20,5000,
91,0,0.0,0,0.00013239999998404528,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",exponential,20.0,,0.001,19.999986760004383,20,5000,0.005
